strategy,question_id,run,accuracy,latency_ms,prompt_tokens,completion_tokens,cost_usd
FullMemory,q1,1,1.0,334.8698616027832,1571,8,0.0009332099999999
FullMemory,q2,1,1.0,783.409833908081,1570,9,0.0009334099999999
FullMemory,q3,1,1.0,330.0309181213379,1571,13,0.0009371599999999
FullMemory,q4,1,1.0,673.616886138916,1572,21,0.00094407
FullMemory,q5,1,1.0,860.7852458953857,1572,14,0.00093854
FullMemory,q6,1,1.0,598.2089042663574,1572,42,0.0009606599999999
FullMemory,q7,1,1.0,706.1178684234619,1572,31,0.0009519699999999
FullMemory,q8,1,1.0,4459.02419090271,1574,11,0.00093735
FullMemory,q9,1,1.0,8615.089893341064,1570,12,0.0009357799999999
FullMemory,q10,1,0.5,8405.08222579956,1571,12,0.0009363699999999
FullMemory,q11,1,1.0,8425.246238708496,1572,12,0.0009369599999999
FullMemory,q12,1,1.0,7465.048789978027,1573,10,0.0009359699999999
FullMemory,q13,1,1.0,7290.416955947876,1571,8,0.0009332099999999
FullMemory,q14,1,1.0,7325.447082519531,1572,10,0.00093538
FullMemory,q15,1,1.0,8530.021905899048,1573,18,0.0009422899999999
FullMemory,q16,1,1.0,8671.802043914795,1572,15,0.0009393299999999
FullMemory,q17,1,1.0,8726.612091064453,1574,11,0.00093735
FullMemory,q18,1,1.0,7750.730991363525,1573,9,0.0009351799999999
FullMemory,q19,1,0.0,8648.165702819824,1573,35,0.00095572
FullMemory,q20,1,0.5,8667.41394996643,1574,30,0.00095236
SummaryMemory,q1,1,1.0,3411.829948425293,393,8,0.00023819
SummaryMemory,q2,1,1.0,2236.236810684204,392,12,0.0002407599999999
SummaryMemory,q3,1,1.0,2247.1017837524414,393,16,0.00024451
SummaryMemory,q4,1,1.0,1382.7288150787354,394,9,0.0002395699999999
SummaryMemory,q5,1,1.0,1193.9659118652344,394,15,0.0002443099999999
SummaryMemory,q6,1,1.0,2322.365045547486,394,9,0.0002395699999999
SummaryMemory,q7,1,1.0,2388.018846511841,394,24,0.00025142
SummaryMemory,q8,1,1.0,3219.250202178955,396,15,0.0002454899999999
SummaryMemory,q9,1,1.0,2492.347002029419,392,15,0.0002431299999999
SummaryMemory,q10,1,0.5,3474.841833114624,393,13,0.0002421399999999
SummaryMemory,q11,1,1.0,2417.6719188690186,394,15,0.0002443099999999
SummaryMemory,q12,1,1.0,2394.374132156372,395,13,0.00024332
SummaryMemory,q13,1,1.0,1400.770902633667,393,11,0.00024056
SummaryMemory,q14,1,1.0,2191.5061473846436,394,10,0.0002403599999999
SummaryMemory,q15,1,1.0,1362.63108253479,395,21,0.00024964
SummaryMemory,q16,1,1.0,2385.9519958496094,394,18,0.00024668
SummaryMemory,q17,1,1.0,2196.591854095459,396,11,0.0002423299999999
SummaryMemory,q18,1,1.0,2382.9891681671143,395,13,0.00024332
SummaryMemory,q19,1,0.0,2262.183904647827,395,21,0.00024964
SummaryMemory,q20,1,1.0,2245.680809020996,396,21,0.0002502299999999
GraphMemory,q1,1,1.0,2180.6418895721436,279,8,0.00017093
GraphMemory,q2,1,1.0,2211.637020111084,278,12,0.0001735
GraphMemory,q3,1,0.5,2446.244716644287,279,20,0.00018041
GraphMemory,q4,1,1.0,2629.4851303100586,280,47,0.0002023299999999
GraphMemory,q5,1,1.0,2365.8440113067627,302,14,0.00018924
GraphMemory,q6,1,1.0,2456.2010765075684,302,45,0.00021373
GraphMemory,q7,1,1.0,2324.105978012085,299,20,0.00019221
GraphMemory,q8,1,0.5,2332.872152328491,308,17,0.00019515
GraphMemory,q9,1,0.5,2212.172031402588,278,12,0.0001735
GraphMemory,q10,1,1.0,2346.18616104126,279,10,0.00017251
GraphMemory,q11,1,1.0,2349.0800857543945,299,20,0.00019221
GraphMemory,q12,1,1.0,2456.4168453216553,281,10,0.00017369
GraphMemory,q13,1,0.5,2403.2487869262695,291,30,0.00019539
GraphMemory,q14,1,1.0,2320.8446502685547,280,10,0.0001730999999999
GraphMemory,q15,1,1.0,2186.7618560791016,281,13,0.00017606
GraphMemory,q16,1,0.5,2320.3189373016357,290,16,0.0001837399999999
GraphMemory,q17,1,1.0,2303.4379482269287,291,11,0.00018038
GraphMemory,q18,1,1.0,2368.906021118164,307,9,0.0001882399999999
GraphMemory,q19,1,0.0,2413.004159927368,281,29,0.0001887
GraphMemory,q20,1,1.0,2289.8640632629395,282,11,0.00017507
RAGMemory,q1,1,1.0,665.1251316070557,137,8,8.714999999999999e-05
RAGMemory,q2,1,1.0,133.78190994262695,140,12,9.208e-05
RAGMemory,q3,1,1.0,172.19305038452148,139,13,9.228e-05
RAGMemory,q4,1,0.5,2359.04598236084,133,30,0.00010217
RAGMemory,q5,1,1.0,2184.983015060425,153,14,0.00010133
RAGMemory,q6,1,1.0,2416.3827896118164,126,36,0.00010278
RAGMemory,q7,1,1.0,2304.5239448547363,136,20,9.604e-05
RAGMemory,q8,1,1.0,2447.730779647827,146,34,0.000113
RAGMemory,q9,1,0.5,2345.497131347656,134,12,8.853999999999999e-05
RAGMemory,q10,1,0.5,2316.3270950317383,137,13,9.11e-05
RAGMemory,q11,1,1.0,2299.201011657715,141,10,9.109e-05
RAGMemory,q12,1,1.0,2283.323049545288,133,10,8.637e-05
RAGMemory,q13,1,1.0,2355.1619052886963,143,8,9.069e-05
RAGMemory,q14,1,1.0,2316.636085510254,127,10,8.282999999999999e-05
RAGMemory,q15,1,1.0,2382.878065109253,137,18,9.505e-05
RAGMemory,q16,1,1.0,2331.5470218658447,141,6,8.793000000000001e-05
RAGMemory,q17,1,1.0,2191.866159439087,134,11,8.774999999999999e-05
RAGMemory,q18,1,1.0,2231.2240600585938,145,13,9.582e-05
RAGMemory,q19,1,0.0,2257.408142089844,139,31,0.0001065
RAGMemory,q20,1,0.5,2425.822973251343,143,28,0.0001064899999999
